person,country,group,fifa_rank,tier
Ella,Portugal,K,5,1
Ella,Croatia,L,11,2
Ella,Australia,D,27,3
Ella,Algeria,J,28,4
Ella,Qatar,B,55,5
Ella,Cape Verde,H,68,6
Emily,France,I,1,1
Emily,Uruguay,H,17,2
Emily,Ecuador,E,24,3
Emily,Egypt,G,29,4
Emily,Tunisia,F,46,5
Emily,Haiti,C,82,6
Henry,England,L,4,1
Henry,Senegal,I,14,2
Henry,Türkiye,D,22,3
Henry,Canada,B,30,4
Henry,South Africa,A,60,5
Henry,Saudi Arabia,H,61,6
Nichola,Morocco,C,7,1
Nichola,Germany,E,10,2
Nichola,Austria,J,23,3
Nichola,Panama,L,33,4
Nichola,Czechia,A,41,5
Nichola,New Zealand,G,85,6
Pete,Spain,H,2,1
Pete,United States,D,16,2
Pete,Iran,G,21,3
Pete,Sweden,F,38,4
Pete,Uzbekistan,K,50,5
Pete,Bosnia-Herzegovina,B,64,6
Richard,Brazil,C,6,1
Richard,Colombia,K,13,2
Richard,Japan,F,18,3
Richard,Ivory Coast,E,34,4
Richard,Iraq,I,57,5
Richard,Jordan,J,63,6
Sophie,Argentina,J,3,1
Sophie,Mexico,A,15,2
Sophie,Switzerland,B,19,3
Sophie,Paraguay,D,40,4
Sophie,Scotland,C,43,5
Sophie,Ghana,L,73,6
Tega,Netherlands,F,8,1
Tega,Belgium,G,9,2
Tega,South Korea,A,25,3
Tega,Norway,I,31,4
Tega,Congo DR,K,45,5
Tega,Curaçao,E,83,6
